Job Title,Company,Skills,Location,Job Type,Date Posted,Job URL
coding bootcamp﹣job guaranteed,metana,"no tech background needed, job or 100% money back",worldwide,not specified,2026-01-02,https://remoteok.com/remote-jobs/remote-coding-bootcamp-job-guaranteed-metana-1129395
junior crypto analyst & trader,whitebridge-ltd,"finance, crypto, edu, junior, analyst, web3, blockchain, defi, ethereum, bitcoin, other, virtual assistant, executive",worldwide,not specified,2026-01-07,https://remoteok.com/remote-jobs/remote-junior-crypto-analyst-trader-whitebridge-ltd-1129461
full stack product engineer,jiga,"senior, javascript, react, node, mongo, engineer, full stack",united states,not specified,2026-01-04,https://remoteok.com/remote-jobs/remote-full-stack-product-engineer-jiga-1129403
senior software engineer,stellar ai,"developer, train",europe,not specified,2026-01-04,https://remoteok.com/remote-jobs/remote-senior-software-engineer-stellar-ai-1128869
accelerator design & development manager,instride,"design, manager, edu, lead, educational",los angeles,not specified,2026-01-08,https://remoteok.com/remote-jobs/remote-accelerator-design-development-manager-instride-1129473
software engineer mid level api,coingecko,"software, design, cryptocurrency, front-end, back-end, technical, code, web, quality assurance, financial, edu, cloud, api, leader, junior, engineer, engineering",malaysia,not specified,2026-01-08,https://remoteok.com/remote-jobs/remote-software-engineer-mid-level-api-coingecko-1129472
software engineer site reliability engineer,thumbtack,"software, design, support, developer, code, reliability, engineer, engineering, linux, backend","remote, ontario",not specified,2026-01-08,https://remoteok.com/remote-jobs/remote-software-engineer-site-reliability-engineer-thumbtack-1129471
senior software engineer .net us,perfectserve,"software, technical, growth, voice, senior, healthcare, engineer",remote,not specified,2026-01-08,https://remoteok.com/remote-jobs/remote-senior-software-engineer-net-us-perfectserve-1129470
senior software engineer,evolve,"software, design, system, technical, support, code, leader, lead, senior, operations, operational, sales, engineer, engineering, backend",remote - us,not specified,2026-01-07,https://remoteok.com/remote-jobs/remote-senior-software-engineer-evolve-1129469
senior staff machine learning engineer,cresta,"front-end, senior, engineer","us, canada",not specified,2026-01-07,https://remoteok.com/remote-jobs/remote-senior-staff-machine-learning-engineer-cresta-1129468
staff software engineer java,ping identity,"software, developer, java, cloud, management, engineer","vancouver, wa",not specified,2026-01-07,https://remoteok.com/remote-jobs/remote-staff-software-engineer-java-ping-identity-1129467
principal server engineer nba 2k,visual concepts,"design, game, technical, support, software, engineer, engineering, backend","novato, ca",not specified,2026-01-07,https://remoteok.com/remote-jobs/remote-principal-server-engineer-nba-2k-visual-concepts-1129466
software engineer ios,mercury,"ios, software, financial, banking, bank, mobile, android, engineer, backend",remote within canada or united states,not specified,2026-01-07,https://remoteok.com/remote-jobs/remote-software-engineer-ios-mercury-1129465
senior server engineer nba 2k,visual concepts,"security, game, gaming, software, code, video, c++, microsoft, senior, go, engineer, backend","novato, ca",not specified,2026-01-07,https://remoteok.com/remote-jobs/remote-senior-server-engineer-nba-2k-visual-concepts-1129464
senior software engineer analytics,"bayesian health, inc.","software, python, technical, support, cloud, lead, senior, analytics, biotech, health, healthcare, engineer, engineering",probably worldwide,not specified,2026-01-07,https://remoteok.com/remote-jobs/remote-senior-software-engineer-analytics-bayesian-health-inc-1129463
software engineer,tech solutions inc.,"software, code, java, engineer",san francisco,not specified,2026-01-07,https://remoteok.com/remote-jobs/remote-software-engineer-tech-solutions-inc-1129462
graphic design technical mentor,alx africa,"design, students, training, technical, software",remote,not specified,2026-01-07,https://remoteok.com/remote-jobs/remote-graphic-design-technical-mentor-alx-africa-1129459
customer support specialist,front,"salesforce, technical, support, testing, voice, health, recruiting",probably worldwide,not specified,2026-01-07,https://remoteok.com/remote-jobs/remote-customer-support-specialist-front-1129458
quality assurance engineer manual,elligint health,"testing, test, medical, health, healthcare, engineer",remote,not specified,2026-01-07,https://remoteok.com/remote-jobs/remote-quality-assurance-engineer-manual-elligint-health-1129457
staff software engineer crypto,robinhood,"crypto, software, design, cryptocurrency, system, security, technical, support, financial, finance, lead, junior, engineer, engineering",new york,not specified,2026-01-06,https://remoteok.com/remote-jobs/remote-staff-software-engineer-crypto-robinhood-1129455
junior software developer full stack,koho,"developer, software, design, react, rabbitmq, front end, docker, support, code, web, javascript, financial, cloud, git, postgresql, angular, api, mobile, senior, junior, operations, operational, go, recruitment, backend",probably worldwide,not specified,2026-01-06,https://remoteok.com/remote-jobs/remote-junior-software-developer-full-stack-koho-1129454
